GEOID,GEOID_2,Block Group,Tract,County,Total Population,Millennial Population,Pct,Year
080899682001,15000US080899682001,Block Group 1, Census Tract 9682, Otero County,954,101,0.105870021,2012
080899682002,15000US080899682002,Block Group 2, Census Tract 9682, Otero County,903,189,0.209302326,2012
080899682003,15000US080899682003,Block Group 3, Census Tract 9682, Otero County,1111,221,0.198919892,2012
080899683001,15000US080899683001,Block Group 1, Census Tract 9683, Otero County,635,100,0.157480315,2012
080899683002,15000US080899683002,Block Group 2, Census Tract 9683, Otero County,1408,221,0.156960227,2012
080899683003,15000US080899683003,Block Group 3, Census Tract 9683, Otero County,1281,194,0.151444184,2012
080899683004,15000US080899683004,Block Group 4, Census Tract 9683, Otero County,637,56,0.087912088,2012
080899684001,15000US080899684001,Block Group 1, Census Tract 9684, Otero County,1044,148,0.141762452,2012
080899685001,15000US080899685001,Block Group 1, Census Tract 9685, Otero County,917,168,0.183206107,2012
080899685002,15000US080899685002,Block Group 2, Census Tract 9685, Otero County,555,73,0.131531532,2012
080899686001,15000US080899686001,Block Group 1, Census Tract 9686, Otero County,992,261,0.263104839,2012
080899686002,15000US080899686002,Block Group 2, Census Tract 9686, Otero County,639,104,0.162754304,2012
080899686003,15000US080899686003,Block Group 3, Census Tract 9686, Otero County,1017,210,0.206489676,2012
080899686004,15000US080899686004,Block Group 4, Census Tract 9686, Otero County,1684,546,0.324228029,2012
080899686005,15000US080899686005,Block Group 5, Census Tract 9686, Otero County,879,322,0.36632537,2012
080919676001,15000US080919676001,Block Group 1, Census Tract 9676, Ouray County,1217,156,0.128184059,2012
080919676002,15000US080919676002,Block Group 2, Census Tract 9676, Ouray County,1022,129,0.126223092,2012
080919676003,15000US080919676003,Block Group 3, Census Tract 9676, Ouray County,829,100,0.120627262,2012
080919676004,15000US080919676004,Block Group 4, Census Tract 9676, Ouray County,1377,162,0.117647059,2012
080930001001,15000US080930001001,Block Group 1, Census Tract 1, Park County,2193,310,0.141358869,2012
080930001002,15000US080930001002,Block Group 2, Census Tract 1, Park County,2576,335,0.130046584,2012
080930001003,15000US080930001003,Block Group 3, Census Tract 1, Park County,1521,211,0.138724523,2012
080930002001,15000US080930002001,Block Group 1, Census Tract 2, Park County,1785,183,0.102521008,2012
080930002002,15000US080930002002,Block Group 2, Census Tract 2, Park County,2199,323,0.146884948,2012
080930003001,15000US080930003001,Block Group 1, Census Tract 3, Park County,1992,408,0.204819277,2012
080930003002,15000US080930003002,Block Group 2, Census Tract 3, Park County,581,78,0.134251291,2012
080930004001,15000US080930004001,Block Group 1, Census Tract 4, Park County,1025,0,0,2012
080930004002,15000US080930004002,Block Group 2, Census Tract 4, Park County,191,166,0.869109948,2012
080930005001,15000US080930005001,Block Group 1, Census Tract 5, Park County,554,87,0.157039711,2012
080930005002,15000US080930005002,Block Group 2, Census Tract 5, Park County,775,26,0.033548387,2012
080930005003,15000US080930005003,Block Group 3, Census Tract 5, Park County,776,27,0.034793814,2012
080959676001,15000US080959676001,Block Group 1, Census Tract 9676, Phillips County,502,107,0.21314741,2012
080959676002,15000US080959676002,Block Group 2, Census Tract 9676, Phillips County,828,177,0.213768116,2012
080959676003,15000US080959676003,Block Group 3, Census Tract 9676, Phillips County,978,210,0.214723926,2012
080959676004,15000US080959676004,Block Group 4, Census Tract 9676, Phillips County,586,99,0.16894198,2012
080959677001,15000US080959677001,Block Group 1, Census Tract 9677, Phillips County,738,93,0.12601626,2012
080959677002,15000US080959677002,Block Group 2, Census Tract 9677, Phillips County,748,132,0.176470588,2012
080970001001,15000US080970001001,Block Group 1, Census Tract 1, Pitkin County,2743,832,0.303317536,2012
080970001002,15000US080970001002,Block Group 2, Census Tract 1, Pitkin County,1021,123,0.120470127,2012
080970001003,15000US080970001003,Block Group 3, Census Tract 1, Pitkin County,1173,136,0.115942029,2012
080970001004,15000US080970001004,Block Group 4, Census Tract 1, Pitkin County,967,135,0.139607032,2012
080970001005,15000US080970001005,Block Group 5, Census Tract 1, Pitkin County,2088,475,0.227490421,2012
080970004011,15000US080970004011,Block Group 1, Census Tract 4.01, Pitkin County,1764,311,0.176303855,2012
080970004012,15000US080970004012,Block Group 2, Census Tract 4.01, Pitkin County,983,193,0.196337742,2012
080970004013,15000US080970004013,Block Group 3, Census Tract 4.01, Pitkin County,1230,267,0.217073171,2012
080970004014,15000US080970004014,Block Group 4, Census Tract 4.01, Pitkin County,568,137,0.241197183,2012
080970004021,15000US080970004021,Block Group 1, Census Tract 4.02, Pitkin County,2145,663,0.309090909,2012
080970004022,15000US080970004022,Block Group 2, Census Tract 4.02, Pitkin County,440,57,0.129545455,2012
080970005001,15000US080970005001,Block Group 1, Census Tract 5, Pitkin County,1335,214,0.160299625,2012
080970005002,15000US080970005002,Block Group 2, Census Tract 5, Pitkin County,543,24,0.044198895,2012
080990001001,15000US080990001001,Block Group 1, Census Tract 1, Prowers County,752,106,0.140957447,2012
080990001002,15000US080990001002,Block Group 2, Census Tract 1, Prowers County,613,128,0.208809135,2012
080990002001,15000US080990002001,Block Group 1, Census Tract 2, Prowers County,1036,220,0.212355212,2012
080990002002,15000US080990002002,Block Group 2, Census Tract 2, Prowers County,1284,315,0.245327103,2012
080990003001,15000US080990003001,Block Group 1, Census Tract 3, Prowers County,664,142,0.213855422,2012
080990003002,15000US080990003002,Block Group 2, Census Tract 3, Prowers County,1109,230,0.207394049,2012
080990003003,15000US080990003003,Block Group 3, Census Tract 3, Prowers County,941,160,0.170031881,2012
080990003004,15000US080990003004,Block Group 4, Census Tract 3, Prowers County,997,322,0.322968907,2012
080990003005,15000US080990003005,Block Group 5, Census Tract 3, Prowers County,687,76,0.11062591,2012
080990003006,15000US080990003006,Block Group 6, Census Tract 3, Prowers County,869,329,0.378596087,2012
080990006001,15000US080990006001,Block Group 1, Census Tract 6, Prowers County,556,87,0.15647482,2012
080990006002,15000US080990006002,Block Group 2, Census Tract 6, Prowers County,700,128,0.182857143,2012
080990007001,15000US080990007001,Block Group 1, Census Tract 7, Prowers County,1132,148,0.130742049,2012
080990007002,15000US080990007002,Block Group 2, Census Tract 7, Prowers County,1199,164,0.136780651,2012
081010001001,15000US081010001001,Block Group 1, Census Tract 1, Pueblo County,503,29,0.057654076,2012
081010001002,15000US081010001002,Block Group 2, Census Tract 1, Pueblo County,663,141,0.212669683,2012
081010001003,15000US081010001003,Block Group 3, Census Tract 1, Pueblo County,1600,260,0.1625,2012
081010002001,15000US081010002001,Block Group 1, Census Tract 2, Pueblo County,1261,393,0.311657415,2012
081010002002,15000US081010002002,Block Group 2, Census Tract 2, Pueblo County,635,190,0.299212598,2012
081010003001,15000US081010003001,Block Group 1, Census Tract 3, Pueblo County,1371,450,0.328227571,2012
081010004001,15000US081010004001,Block Group 1, Census Tract 4, Pueblo County,572,97,0.16958042,2012
081010004002,15000US081010004002,Block Group 2, Census Tract 4, Pueblo County,1177,308,0.261682243,2012
081010004003,15000US081010004003,Block Group 3, Census Tract 4, Pueblo County,790,138,0.174683544,2012
081010005001,15000US081010005001,Block Group 1, Census Tract 5, Pueblo County,928,351,0.378232759,2012
081010005002,15000US081010005002,Block Group 2, Census Tract 5, Pueblo County,747,113,0.151271754,2012
081010005003,15000US081010005003,Block Group 3, Census Tract 5, Pueblo County,639,89,0.139280125,2012
081010006001,15000US081010006001,Block Group 1, Census Tract 6, Pueblo County,321,73,0.22741433,2012
081010006002,15000US081010006002,Block Group 2, Census Tract 6, Pueblo County,873,72,0.082474227,2012
081010006003,15000US081010006003,Block Group 3, Census Tract 6, Pueblo County,732,95,0.129781421,2012
081010008001,15000US081010008001,Block Group 1, Census Tract 8, Pueblo County,998,302,0.30260521,2012
081010008002,15000US081010008002,Block Group 2, Census Tract 8, Pueblo County,1010,257,0.254455446,2012
081010008003,15000US081010008003,Block Group 3, Census Tract 8, Pueblo County,1077,223,0.207056639,2012
081010009021,15000US081010009021,Block Group 1, Census Tract 9.02, Pueblo County,869,175,0.201380898,2012
081010009022,15000US081010009022,Block Group 2, Census Tract 9.02, Pueblo County,1101,494,0.448683015,2012
081010009023,15000US081010009023,Block Group 3, Census Tract 9.02, Pueblo County,793,340,0.428751576,2012
081010009024,15000US081010009024,Block Group 4, Census Tract 9.02, Pueblo County,1416,308,0.217514124,2012
081010009025,15000US081010009025,Block Group 5, Census Tract 9.02, Pueblo County,1110,271,0.244144144,2012
081010009031,15000US081010009031,Block Group 1, Census Tract 9.03, Pueblo County,655,655,1,2012
081010009041,15000US081010009041,Block Group 1, Census Tract 9.04, Pueblo County,1467,209,0.142467621,2012
081010009042,15000US081010009042,Block Group 2, Census Tract 9.04, Pueblo County,1343,289,0.215189873,2012
081010009043,15000US081010009043,Block Group 3, Census Tract 9.04, Pueblo County,1577,171,0.108433735,2012
081010009051,15000US081010009051,Block Group 1, Census Tract 9.05, Pueblo County,1271,611,0.480723839,2012
081010009052,15000US081010009052,Block Group 2, Census Tract 9.05, Pueblo County,853,216,0.253223916,2012
081010010001,15000US081010010001,Block Group 1, Census Tract 10, Pueblo County,1630,278,0.170552147,2012
081010010002,15000US081010010002,Block Group 2, Census Tract 10, Pueblo County,1166,187,0.160377358,2012
081010010003,15000US081010010003,Block Group 3, Census Tract 10, Pueblo County,663,139,0.209653092,2012
081010010004,15000US081010010004,Block Group 4, Census Tract 10, Pueblo County,1074,337,0.313780261,2012
081010011001,15000US081010011001,Block Group 1, Census Tract 11, Pueblo County,833,145,0.174069628,2012
081010011002,15000US081010011002,Block Group 2, Census Tract 11, Pueblo County,752,202,0.268617021,2012
081010011003,15000US081010011003,Block Group 3, Census Tract 11, Pueblo County,707,147,0.207920792,2012
081010012001,15000US081010012001,Block Group 1, Census Tract 12, Pueblo County,1134,331,0.291887125,2012
081010012002,15000US081010012002,Block Group 2, Census Tract 12, Pueblo County,926,241,0.260259179,2012
081010014001,15000US081010014001,Block Group 1, Census Tract 14, Pueblo County,1275,325,0.254901961,2012
081010015001,15000US081010015001,Block Group 1, Census Tract 15, Pueblo County,1482,434,0.292847503,2012
081010015002,15000US081010015002,Block Group 2, Census Tract 15, Pueblo County,719,87,0.121001391,2012
081010016001,15000US081010016001,Block Group 1, Census Tract 16, Pueblo County,626,102,0.162939297,2012
081010016002,15000US081010016002,Block Group 2, Census Tract 16, Pueblo County,1063,239,0.224835372,2012
081010017001,15000US081010017001,Block Group 1, Census Tract 17, Pueblo County,1240,259,0.208870968,2012
081010017002,15000US081010017002,Block Group 2, Census Tract 17, Pueblo County,1611,238,0.147734327,2012
081010017003,15000US081010017003,Block Group 3, Census Tract 17, Pueblo County,1420,81,0.057042254,2012
081010018001,15000US081010018001,Block Group 1, Census Tract 18, Pueblo County,1216,206,0.169407895,2012
081010018002,15000US081010018002,Block Group 2, Census Tract 18, Pueblo County,881,229,0.259931896,2012
081010018003,15000US081010018003,Block Group 3, Census Tract 18, Pueblo County,336,68,0.202380952,2012
081010019001,15000US081010019001,Block Group 1, Census Tract 19, Pueblo County,977,401,0.410440123,2012
081010019002,15000US081010019002,Block Group 2, Census Tract 19, Pueblo County,574,143,0.24912892,2012
081010020001,15000US081010020001,Block Group 1, Census Tract 20, Pueblo County,912,103,0.112938596,2012
081010020002,15000US081010020002,Block Group 2, Census Tract 20, Pueblo County,563,107,0.190053286,2012
081010020003,15000US081010020003,Block Group 3, Census Tract 20, Pueblo County,702,289,0.411680912,2012
081010020004,15000US081010020004,Block Group 4, Census Tract 20, Pueblo County,725,168,0.231724138,2012
081010021001,15000US081010021001,Block Group 1, Census Tract 21, Pueblo County,641,162,0.252730109,2012
081010021002,15000US081010021002,Block Group 2, Census Tract 21, Pueblo County,1069,191,0.178671656,2012
081010022001,15000US081010022001,Block Group 1, Census Tract 22, Pueblo County,718,144,0.200557103,2012
081010022002,15000US081010022002,Block Group 2, Census Tract 22, Pueblo County,827,141,0.170495768,2012
081010023001,15000US081010023001,Block Group 1, Census Tract 23, Pueblo County,792,185,0.233585859,2012
081010023002,15000US081010023002,Block Group 2, Census Tract 23, Pueblo County,878,174,0.198177677,2012
081010023003,15000US081010023003,Block Group 3, Census Tract 23, Pueblo County,712,116,0.162921348,2012
081010023004,15000US081010023004,Block Group 4, Census Tract 23, Pueblo County,1481,557,0.376097232,2012
081010024001,15000US081010024001,Block Group 1, Census Tract 24, Pueblo County,1138,353,0.310193322,2012
081010024002,15000US081010024002,Block Group 2, Census Tract 24, Pueblo County,770,109,0.141558442,2012
081010025001,15000US081010025001,Block Group 1, Census Tract 25, Pueblo County,888,254,0.286036036,2012
081010025002,15000US081010025002,Block Group 2, Census Tract 25, Pueblo County,993,213,0.214501511,2012
081010025003,15000US081010025003,Block Group 3, Census Tract 25, Pueblo County,926,243,0.262419006,2012
081010026001,15000US081010026001,Block Group 1, Census Tract 26, Pueblo County,1278,262,0.205007825,2012
081010026002,15000US081010026002,Block Group 2, Census Tract 26, Pueblo County,1309,350,0.267379679,2012
081010026003,15000US081010026003,Block Group 3, Census Tract 26, Pueblo County,767,165,0.215123859,2012
081010027001,15000US081010027001,Block Group 1, Census Tract 27, Pueblo County,940,83,0.088297872,2012
081010027002,15000US081010027002,Block Group 2, Census Tract 27, Pueblo County,1058,170,0.160680529,2012
081010027003,15000US081010027003,Block Group 3, Census Tract 27, Pueblo County,1229,368,0.299430431,2012
081010027004,15000US081010027004,Block Group 4, Census Tract 27, Pueblo County,710,314,0.442253521,2012
081010027005,15000US081010027005,Block Group 5, Census Tract 27, Pueblo County,679,141,0.207658321,2012
081010027006,15000US081010027006,Block Group 6, Census Tract 27, Pueblo County,973,251,0.257965057,2012
081010028011,15000US081010028011,Block Group 1, Census Tract 28.01, Pueblo County,1439,288,0.200138985,2012
081010028012,15000US081010028012,Block Group 2, Census Tract 28.01, Pueblo County,1299,213,0.163972286,2012
081010028013,15000US081010028013,Block Group 3, Census Tract 28.01, Pueblo County,700,118,0.168571429,2012
081010028014,15000US081010028014,Block Group 4, Census Tract 28.01, Pueblo County,1313,441,0.335872049,2012
081010028015,15000US081010028015,Block Group 5, Census Tract 28.01, Pueblo County,794,105,0.132241814,2012
081010028021,15000US081010028021,Block Group 1, Census Tract 28.02, Pueblo County,982,83,0.084521385,2012
081010028022,15000US081010028022,Block Group 2, Census Tract 28.02, Pueblo County,971,236,0.243048404,2012
081010028023,15000US081010028023,Block Group 3, Census Tract 28.02, Pueblo County,2039,379,0.185875429,2012
081010028041,15000US081010028041,Block Group 1, Census Tract 28.04, Pueblo County,1686,321,0.190391459,2012
081010028042,15000US081010028042,Block Group 2, Census Tract 28.04, Pueblo County,1127,90,0.07985803,2012
081010028043,15000US081010028043,Block Group 3, Census Tract 28.04, Pueblo County,928,93,0.100215517,2012
081010028061,15000US081010028061,Block Group 1, Census Tract 28.06, Pueblo County,818,85,0.10391198,2012
081010028062,15000US081010028062,Block Group 2, Census Tract 28.06, Pueblo County,1461,253,0.173169062,2012
081010028063,15000US081010028063,Block Group 3, Census Tract 28.06, Pueblo County,1177,117,0.099405268,2012
081010028071,15000US081010028071,Block Group 1, Census Tract 28.07, Pueblo County,804,212,0.263681592,2012
081010028072,15000US081010028072,Block Group 2, Census Tract 28.07, Pueblo County,685,95,0.138686131,2012
081010028073,15000US081010028073,Block Group 3, Census Tract 28.07, Pueblo County,2933,484,0.165018752,2012
081010028081,15000US081010028081,Block Group 1, Census Tract 28.08, Pueblo County,1444,127,0.087950139,2012
081010028082,15000US081010028082,Block Group 2, Census Tract 28.08, Pueblo County,1658,161,0.097104946,2012
081010029011,15000US081010029011,Block Group 1, Census Tract 29.01, Pueblo County,929,161,0.173304629,2012
081010029012,15000US081010029012,Block Group 2, Census Tract 29.01, Pueblo County,2322,728,0.313522825,2012
081010029031,15000US081010029031,Block Group 1, Census Tract 29.03, Pueblo County,2542,342,0.134539732,2012
081010029032,15000US081010029032,Block Group 2, Census Tract 29.03, Pueblo County,4130,1356,0.328329298,2012
081010029061,15000US081010029061,Block Group 1, Census Tract 29.06, Pueblo County,2109,324,0.153627312,2012
081010029062,15000US081010029062,Block Group 2, Census Tract 29.06, Pueblo County,1916,213,0.111169102,2012
081010029111,15000US081010029111,Block Group 1, Census Tract 29.11, Pueblo County,2554,230,0.090054816,2012
081010029121,15000US081010029121,Block Group 1, Census Tract 29.12, Pueblo County,1894,646,0.341077086,2012
081010029131,15000US081010029131,Block Group 1, Census Tract 29.13, Pueblo County,1833,346,0.188761593,2012
081010029132,15000US081010029132,Block Group 2, Census Tract 29.13, Pueblo County,1823,170,0.09325288,2012
081010029141,15000US081010029141,Block Group 1, Census Tract 29.14, Pueblo County,2967,964,0.324907314,2012
081010029142,15000US081010029142,Block Group 2, Census Tract 29.14, Pueblo County,583,123,0.210977702,2012
081010029151,15000US081010029151,Block Group 1, Census Tract 29.15, Pueblo County,2608,678,0.259969325,2012
081010029161,15000US081010029161,Block Group 1, Census Tract 29.16, Pueblo County,1437,225,0.1565762,2012
081010029162,15000US081010029162,Block Group 2, Census Tract 29.16, Pueblo County,1490,245,0.16442953,2012
081010029171,15000US081010029171,Block Group 1, Census Tract 29.17, Pueblo County,2559,386,0.150840172,2012
081010029181,15000US081010029181,Block Group 1, Census Tract 29.18, Pueblo County,2245,382,0.170155902,2012
081010029182,15000US081010029182,Block Group 2, Census Tract 29.18, Pueblo County,3705,676,0.18245614,2012
081010030011,15000US081010030011,Block Group 1, Census Tract 30.01, Pueblo County,1605,411,0.256074766,2012
081010030041,15000US081010030041,Block Group 1, Census Tract 30.04, Pueblo County,1487,315,0.211835911,2012
081010030042,15000US081010030042,Block Group 2, Census Tract 30.04, Pueblo County,1214,314,0.258649094,2012
081010031031,15000US081010031031,Block Group 1, Census Tract 31.03, Pueblo County,1381,204,0.147719044,2012
081010031032,15000US081010031032,Block Group 2, Census Tract 31.03, Pueblo County,677,172,0.254062038,2012
081010031041,15000US081010031041,Block Group 1, Census Tract 31.04, Pueblo County,860,185,0.215116279,2012
081010031042,15000US081010031042,Block Group 2, Census Tract 31.04, Pueblo County,765,157,0.205228758,2012
081010031043,15000US081010031043,Block Group 3, Census Tract 31.04, Pueblo County,788,142,0.180203046,2012
081010031051,15000US081010031051,Block Group 1, Census Tract 31.05, Pueblo County,1027,154,0.149951315,2012
081010031052,15000US081010031052,Block Group 2, Census Tract 31.05, Pueblo County,959,167,0.174139729,2012
081010031053,15000US081010031053,Block Group 3, Census Tract 31.05, Pueblo County,1055,161,0.152606635,2012
081010031061,15000US081010031061,Block Group 1, Census Tract 31.06, Pueblo County,1299,310,0.238645112,2012
081010032001,15000US081010032001,Block Group 1, Census Tract 32, Pueblo County,1532,270,0.176240209,2012
081010032002,15000US081010032002,Block Group 2, Census Tract 32, Pueblo County,978,193,0.197341513,2012
081010032003,15000US081010032003,Block Group 3, Census Tract 32, Pueblo County,824,134,0.162621359,2012
081010035001,15000US081010035001,Block Group 1, Census Tract 35, Pueblo County,1691,608,0.359550562,2012
081010035002,15000US081010035002,Block Group 2, Census Tract 35, Pueblo County,649,111,0.171032357,2012
081010036001,15000US081010036001,Block Group 1, Census Tract 36, Pueblo County,1422,314,0.220815752,2012
081010036002,15000US081010036002,Block Group 2, Census Tract 36, Pueblo County,620,89,0.143548387,2012
081019801001,15000US081019801001,Block Group 1, Census Tract 9801, Pueblo County,0,0,0,2012
081039511001,15000US081039511001,Block Group 1, Census Tract 9511, Rio Blanco County,704,16,0.022727273,2012
081039511002,15000US081039511002,Block Group 2, Census Tract 9511, Rio Blanco County,1005,508,0.505472637,2012
081039511003,15000US081039511003,Block Group 3, Census Tract 9511, Rio Blanco County,1280,249,0.19453125,2012
081039511004,15000US081039511004,Block Group 4, Census Tract 9511, Rio Blanco County,1229,54,0.043938161,2012
081039512001,15000US081039512001,Block Group 1, Census Tract 9512, Rio Blanco County,338,26,0.076923077,2012
081039512002,15000US081039512002,Block Group 2, Census Tract 9512, Rio Blanco County,762,210,0.275590551,2012
081039512003,15000US081039512003,Block Group 3, Census Tract 9512, Rio Blanco County,1410,500,0.354609929,2012
081059767001,15000US081059767001,Block Group 1, Census Tract 9767, Rio Grande County,1684,394,0.233966746,2012
081059767002,15000US081059767002,Block Group 2, Census Tract 9767, Rio Grande County,976,235,0.240778689,2012
081059767003,15000US081059767003,Block Group 3, Census Tract 9767, Rio Grande County,1046,68,0.06500956,2012
081059767004,15000US081059767004,Block Group 4, Census Tract 9767, Rio Grande County,1640,382,0.232926829,2012
081059768001,15000US081059768001,Block Group 1, Census Tract 9768, Rio Grande County,892,227,0.254484305,2012
081059768002,15000US081059768002,Block Group 2, Census Tract 9768, Rio Grande County,937,141,0.150480256,2012
081059770001,15000US081059770001,Block Group 1, Census Tract 9770, Rio Grande County,1232,292,0.237012987,2012
081059770002,15000US081059770002,Block Group 2, Census Tract 9770, Rio Grande County,1063,100,0.094073377,2012
081059770003,15000US081059770003,Block Group 3, Census Tract 9770, Rio Grande County,1318,145,0.110015175,2012
081059770004,15000US081059770004,Block Group 4, Census Tract 9770, Rio Grande County,1137,216,0.189973615,2012
081070001001,15000US081070001001,Block Group 1, Census Tract 1, Routt County,744,131,0.176075269,2012
081070001002,15000US081070001002,Block Group 2, Census Tract 1, Routt County,1429,239,0.167249825,2012
081070002001,15000US081070002001,Block Group 1, Census Tract 2, Routt County,1224,273,0.223039216,2012
081070002002,15000US081070002002,Block Group 2, Census Tract 2, Routt County,854,133,0.155737705,2012
081070003001,15000US081070003001,Block Group 1, Census Tract 3, Routt County,849,150,0.176678445,2012
081070003002,15000US081070003002,Block Group 2, Census Tract 3, Routt County,1236,132,0.106796117,2012
081070004001,15000US081070004001,Block Group 1, Census Tract 4, Routt County,895,129,0.144134078,2012
081070004002,15000US081070004002,Block Group 2, Census Tract 4, Routt County,2148,546,0.254189944,2012
081070005001,15000US081070005001,Block Group 1, Census Tract 5, Routt County,1094,431,0.393967093,2012
081070005002,15000US081070005002,Block Group 2, Census Tract 5, Routt County,564,111,0.196808511,2012
081070005003,15000US081070005003,Block Group 3, Census Tract 5, Routt County,1233,390,0.316301703,2012
081070005004,15000US081070005004,Block Group 4, Census Tract 5, Routt County,1509,361,0.239231279,2012
081070006001,15000US081070006001,Block Group 1, Census Tract 6, Routt County,2366,807,0.341081995,2012
081070006002,15000US081070006002,Block Group 2, Census Tract 6, Routt County,909,60,0.066006601,2012
081070007001,15000US081070007001,Block Group 1, Census Tract 7, Routt County,1674,627,0.374551971,2012
081070007002,15000US081070007002,Block Group 2, Census Tract 7, Routt County,1292,220,0.170278638,2012
081070007003,15000US081070007003,Block Group 3, Census Tract 7, Routt County,1173,200,0.170502984,2012
081070008001,15000US081070008001,Block Group 1, Census Tract 8, Routt County,905,152,0.167955801,2012
081070008002,15000US081070008002,Block Group 2, Census Tract 8, Routt County,1287,337,0.261849262,2012
081099776001,15000US081099776001,Block Group 1, Census Tract 9776, Saguache County,955,140,0.146596859,2012
081099776002,15000US081099776002,Block Group 2, Census Tract 9776, Saguache County,980,124,0.126530612,2012
081099776003,15000US081099776003,Block Group 3, Census Tract 9776, Saguache County,1104,74,0.067028986,2012
081099777001,15000US081099777001,Block Group 1, Census Tract 9777, Saguache County,858,119,0.138694639,2012
081099777002,15000US081099777002,Block Group 2, Census Tract 9777, Saguache County,1061,295,0.278039585,2012
081099777003,15000US081099777003,Block Group 3, Census Tract 9777, Saguache County,1231,301,0.244516653,2012
081119726001,15000US081119726001,Block Group 1, Census Tract 9726, San Juan County,747,304,0.406961178,2012
081139681011,15000US081139681011,Block Group 1, Census Tract 9681.01, San Miguel County,1119,490,0.437890974,2012
081139681012,15000US081139681012,Block Group 2, Census Tract 9681.01, San Miguel County,1001,188,0.187812188,2012
081139681021,15000US081139681021,Block Group 1, Census Tract 9681.02, San Miguel County,1833,565,0.308237861,2012
081139681031,15000US081139681031,Block Group 1, Census Tract 9681.03, San Miguel County,955,136,0.142408377,2012
081139681032,15000US081139681032,Block Group 2, Census Tract 9681.03, San Miguel County,934,159,0.170235546,2012
081139682001,15000US081139682001,Block Group 1, Census Tract 9682, San Miguel County,1590,228,0.143396226,2012
081159683001,15000US081159683001,Block Group 1, Census Tract 9683, Sedgwick County,608,76,0.125,2012
081159683002,15000US081159683002,Block Group 2, Census Tract 9683, Sedgwick County,608,90,0.148026316,2012
081159683003,15000US081159683003,Block Group 3, Census Tract 9683, Sedgwick County,1173,223,0.190110827,2012
081170001001,15000US081170001001,Block Group 1, Census Tract 1, Summit County,481,13,0.027027027,2012
081170001002,15000US081170001002,Block Group 2, Census Tract 1, Summit County,2538,505,0.198975571,2012
081170001003,15000US081170001003,Block Group 3, Census Tract 1, Summit County,2339,219,0.093629756,2012
081170001004,15000US081170001004,Block Group 4, Census Tract 1, Summit County,779,502,0.644415918,2012
081170001005,15000US081170001005,Block Group 5, Census Tract 1, Summit County,1046,230,0.219885277,2012
081170002001,15000US081170002001,Block Group 1, Census Tract 2, Summit County,574,158,0.275261324,2012
081170002002,15000US081170002002,Block Group 2, Census Tract 2, Summit County,546,300,0.549450549,2012
081170002003,15000US081170002003,Block Group 3, Census Tract 2, Summit County,1010,168,0.166336634,2012
081170002004,15000US081170002004,Block Group 4, Census Tract 2, Summit County,2605,492,0.188867562,2012
081170002005,15000US081170002005,Block Group 5, Census Tract 2, Summit County,3733,1517,0.406375569,2012
081170003001,15000US081170003001,Block Group 1, Census Tract 3, Summit County,212,62,0.29245283,2012
081170003002,15000US081170003002,Block Group 2, Census Tract 3, Summit County,1669,659,0.394847214,2012
081170003003,15000US081170003003,Block Group 3, Census Tract 3, Summit County,521,157,0.30134357,2012
081170003004,15000US081170003004,Block Group 4, Census Tract 3, Summit County,723,241,0.333333333,2012
081170004011,15000US081170004011,Block Group 1, Census Tract 4.01, Summit County,565,127,0.224778761,2012
081170004012,15000US081170004012,Block Group 2, Census Tract 4.01, Summit County,1456,535,0.367445055,2012
081170004013,15000US081170004013,Block Group 3, Census Tract 4.01, Summit County,1735,590,0.340057637,2012
081170004014,15000US081170004014,Block Group 4, Census Tract 4.01, Summit County,779,427,0.548138639,2012
081170004021,15000US081170004021,Block Group 1, Census Tract 4.02, Summit County,2018,268,0.132804757,2012
081170004022,15000US081170004022,Block Group 2, Census Tract 4.02, Summit County,1466,434,0.296043656,2012
081170004023,15000US081170004023,Block Group 3, Census Tract 4.02, Summit County,289,97,0.335640138,2012
081170004024,15000US081170004024,Block Group 4, Census Tract 4.02, Summit County,669,469,0.701046338,2012
081190101031,15000US081190101031,Block Group 1, Census Tract 101.03, Teller County,1550,210,0.135483871,2012
081190101032,15000US081190101032,Block Group 2, Census Tract 101.03, Teller County,2408,260,0.107973422,2012
081190101033,15000US081190101033,Block Group 3, Census Tract 101.03, Teller County,1402,288,0.205420827,2012
081190101034,15000US081190101034,Block Group 4, Census Tract 101.03, Teller County,1799,204,0.113396331,2012
081190101041,15000US081190101041,Block Group 1, Census Tract 101.04, Teller County,805,108,0.134161491,2012
081190101042,15000US081190101042,Block Group 2, Census Tract 101.04, Teller County,1424,222,0.155898876,2012
081190101051,15000US081190101051,Block Group 1, Census Tract 101.05, Teller County,1602,241,0.150436954,2012
081190101052,15000US081190101052,Block Group 2, Census Tract 101.05, Teller County,2702,206,0.076239822,2012
081190101053,15000US081190101053,Block Group 3, Census Tract 101.05, Teller County,1405,54,0.038434164,2012
081190101061,15000US081190101061,Block Group 1, Census Tract 101.06, Teller County,1852,162,0.087473002,2012
081190101062,15000US081190101062,Block Group 2, Census Tract 101.06, Teller County,1374,311,0.226346434,2012
081190101063,15000US081190101063,Block Group 3, Census Tract 101.06, Teller County,1562,242,0.154929577,2012
081190102011,15000US081190102011,Block Group 1, Census Tract 102.01, Teller County,1524,353,0.231627297,2012
081190102012,15000US081190102012,Block Group 2, Census Tract 102.01, Teller County,1186,156,0.13153457,2012
